Boek;Hfd;Passage;Titel;Toelichting;Vraag
40;1;Matteüs 1:1-17;Drie keer veertien ;;
40;1;Matteüs 1:18-25;God met ons! ;Arme Jozef! Zijn verloofde is zwanger, maar niet van hem. Het zal hem veel verdriet hebben gedaan. Maar dan verschijnt een engel in een droom, die hem vertelt dat Maria niets verkeerd heeft gedaan en dat het Gods werk is. Jozef mag het kindje twee namen geven: Jezus, wat betekent dat God mensen bevrijdt van hun zonden, en Immanuel, wat betekent dat God met ons is. Wat zal Jozef verbaasd, verwonderd, maar vooral hoopvol zijn geweest: het komt goed! 'Want die grote God, over wie Micha schrijft, komt dicht bij ons. Hij ontfermt zich over ons en vergeeft ons onze zonden.;Welke van de twee namen die Jozef het kindje mag geven spreekt je het meest aan? Waarom?
40;2;Matteüs 2:1-12;Waar is de koning? ;"Ineens komen er vreemde wijzen op het toneel. Zij hebben een ster gezien. Die wijze mannen hebben verstand van sterren. De wetenschap staat hoog genoteerd, daar in het verre Morgenland. Astronomie en astrologie gaan er hand in hand. Er is veel kennis en inzicht: het staat in de sterren geschreven.
In dat verre land is een wereldomvattend teken te zien: er staat iets unieks te gebeuren. De stand van de hemellichamen is nooit eerder vertoond. Die ene ster moet hoogst serieus genomen worden, zij is een teken. En de tekenen moeten worden verstaan: er is een koning geboren. Deze geleerden gaan daarom die ster achterna, waarheen die ook wijst.
De bijbelgeleerden in Jeruzalem zouden meer van die pasgeboren koning moeten weten. Maar die hebben er geen oor en oog voor. Dat brengt echter die wijzen uit het oosten niet van de wijs. In hun zoek­ tocht gaan zij ons voor: de ster gaat voorop.
Komt laten wij aanbidden, die koning.";
40;2;Matteüs 2:13-23;Een vroege vlucht ;De wijzen gaan op weg naar het kind. Maar de schriftgeleerden en koning Herodes gaan niet: zij staan aan de grond genageld. Want zij sidderen van angst, en angst kan een mens helemaal van de wijs bren­ gen. Wie is er nu bang voor een pasgeboren kind, bang voor een baby? Herodes wel: hij is bang zijn eigen macht kwijt te raken. Hij schuwt geen middel om zijn troon veilig te stellen. Zelfs in pasgeboren kinderen ziet Herodes een gevaar: één van hen kan hem te zijner tijd van de troon stoten. Zijn angst neemt absurde proporties aan. Alle leeftijdsge­ nootjes van Jezus in Betlehem moeten het met de dood bekopen. Er volgt een hartverscheurend relaas van radeloze moeders. Maria en Jozef moeten het vege lijf zien te redden. Dit pasgeboren kind, het teken van liefde, wordt van meet af aan weersproken. Herodes probeert het in de kiem te smoren. Maar goddelijke liefde laat zich niet doven.;
40;3;Matteüs 3:1-12;Een stem roept in de woestijn ;"Het is dertig jaar later. Ineens is er commotie. Een mensenmassa komt in beweging. Veel mensen lopen uit om wat nieuws te horen en te zien. Daar heb je Johannes, een zonderling uit de woestijn. Een ruwe ver­ schijning met een krachtige, indringende boodschap: Kom tot inkeer, het is nu of nooit!
Mensen laten zich roepen, weg uit het leven van alledag. Ze laten zich gezeggen: Gooi het roer om, maak schoon schip. Breek met het oude, verkeerde leven, los van God en gebod. En laat je dopen, onderdompe­ len, in een bad van vergeving en vernieuwing.
Veel mensen doen het, ze gaan ervoor. Die Johannes, die brengt een nieuw begin. Een goddelijk Koninkrijk breekt aan! Maar Johannes wijst van zich af. Het gaat niet om hem. Het gaat om de ander, die in aantocht is. Die zal het verschil maken. Hij is een mens van geestkracht en vuur. Richten ook wij ons met hart en ziel op hem en op zijn Koninkrijk?";
40;3;Matteüs 3:1-17;Vuurdoop en waterdoop ;In de woestijn van Judea roept Johannes de mensen op om tot inkeer te komen en hun zonden te belijden, ter voorbereiding op de komst van de Messias. Als teken van hun inkeer worden ze door Johannes gedoopt. Op een dag komt ook Jezus naar de Jordaan om zich te laten dopen. Johannes probeert Jezus hiervan te weerhouden. Hij ziet zichzelf als onwaardig om iemand in wie geen zonde te bekennen valt te dopen. Maar Jezus geeft aan dat dit alles móét gebeuren. Door zijn doop laat Hij zien dat Hij bereid is Gods wil te doen en de taak die Hem gegeven is op zich te nemen. Dan daalt Gods Geest op Jezus neer en klinkt er een stem uit de hemel: ‘Dit is mijn geliefde Zoon, in Hem vind Ik vreugde.’ Deze woorden doen denken aan Jesaja 42:1, en verbinden Jezus zo met de lijdende dienaar van God. Bovendien kun je er Psalm 2:7 in terug horen. ‘Mijn zoon’ is daar een aanduiding voor de zoon van David, de gezalfde koning. Maar dat Jezus door God met deze bewoordingen wordt bekendgemaakt, reikt nog verder: als Zoon van God is Hij onlosmakelijk met de Vader verbonden.;Johannes de Doper maakte volgens de evangelist de weg voor Jezus gereed. Wat kun jij deze veertigdagentijd doen om jezelf open te stellen voor Jezus?
40;3;Matteüs 3:13–4:11;En dan komt U naar mij? ;"Nu is het grote moment daar. Degene naar wie Johannes verwees, ver­ schijnt. Iedereen houdt de adem in. Nu zul je wat beleven. Breekt het grote Koninkrijk nu eindelijk door?
Deze komende koning is echter heel anders dan gedacht en verwacht. Hij doet voorlopig helemaal niets. Hij preekt niet en Hij doopt ook niet, zoals Johannes deed. Hij wil juist zelf gedoopt worden, kopje­onder. Op die wijze toont Hij zich solidair met ons in ons lot, onze onmacht, onze schuld.
Vervolgens vertrekt Hij. Hij laat veertig dagen niets van zich horen of zien. Hij gaat de woestijn in vol eenzaamheid en ontbering. Om zich daar voor te bereiden op zijn missie: er helemaal zijn voor ons mensen, voor mensen in de knel, in nood, zwak en kwetsbaar. En om weerstand te bieden tegen alles wat hem afhoudt van die verbondenheid en soli­ dariteit. Hij is alleen gehoorzaam aan zijn zender, zijn hemelse Vader, de God van het Koninkrijk. Hij is trouw tot het uiterste.";
40;4;Matteüs 4:1-11;Woestijnreis ;Het boek Deuteronomium staat bij ons waarschijnlijk niet in de top drie van meest gelezen Bijbelboeken. Maar voor Jezus was het een belangrijk boek, want als hij hier in de woestijn op de proef gesteld wordt, noemt hij drie keer een tekst uit dit Bijbelboek (Deuteronomium 8:3, 6:16 en 6:13). Ook de verhalen uit Deuteronomium spelen zich af in een woestijn, maar dan met het volk van Israël in de hoofdrol. Je weet misschien hoe het verhaal afloopt: het volk wordt beproefd, maar houdt geen stand. In het verhaal van Jezus zien we een andere afloop: Jezus houdt wel stand. Een nieuw hoofdstuk in de geschiedenis van Israël is aangebroken.;Hoe helpen Bijbelverhalen jou om stand te houden in moeilijke situaties?
40;4;Matteüs 4:12-22;Schitterend ;"Simon en Andreas waren vissers. Ze hadden gewoon een dag als alle andere dagen. Toen kwam Jezus en riep hen. ‘Ik zal jullie vissers van mensen maken,’ zei Hij. Een bijzondere roeping. Ze blijven wie ze zijn, maar toch worden ze compleet anders.
Het woord roeping klinkt nogal zwaar. Alsof je alles op moet geven wat je kent en waar je van houdt. De roeping van Simon en Andreas laat zien dat je daar best wat lichter over mag denken. Je blijft wie je bent, ook als Jezus je roept. Juist met jouw gaven en talenten, jouw interesses en drijfveren ben je van waarde voor Gods Koninkrijk. Alleen je doel wordt anders. In het voetspoor van Jezus gaat het altijd om liefde voor mensen. Dat komt voorop te staan. Hoe kunt u, hoe kun jij zoals je bent aan die roepstem gehoor geven?";
40;4;Matteüs 4:12-25;Startpunt ;Jezus is weer op bekend terrein. Na de beproeving in de woestijn is hij terug in Galilea, het gebied in het noorden van Israël waar hij is opgegroeid. Vanaf dat moment begint Jezus het goede nieuws over Gods koninkrijk aan de mensen te vertellen. Het is een boodschap van geloof, hoop en liefde. Jezus laat zien hoe een leven in Gods koninkrijk eruitziet: Er komt een einde aan ziekte. Onrecht en huichelarij maken plaats voor rechtvaardigheid en oprechtheid. Het zwakke en kwetsbare wordt beschermd. Dát is de boodschap waarmee Jezus rondtrekt, en dat is ook wat je ziet gebeuren in zijn ontmoetingen met mensen.;Wat betekent het goede nieuws van het koninkrijk voor jou?
